,city,district,street_name,rooms,size_m2,price_per_m2,price
0,Warszawa, Praga-Północ,,2,29.0,13655,396000.0
1,Warszawa, Bemowo, ul. Secemińska,3,60.1,11564,695000.0
2,Warszawa, Wilanów,,2,55.0,15055,828000.0
3,Warszawa, Białołęka,,3,55.2,13225,730000.0
4,Warszawa, Śródmieście, ul. Marszałkowska 111a,2,38.8,19330,750000.0
5,Warszawa, Śródmieście, Nowy Świat,3,83.5,17964,1500000.0
6,Warszawa, Ursynów, Imielin,4,68.9,10160,700000.0
7,Warszawa, Mokotów, Sielce,3,59.2,16554,980000.0
8,Warszawa, Mokotów, Dolny Mokotów,4,157.0,12099,1899500.0
9,Warszawa, Mokotów,,3,47.07,12747,600000.0
10,Warszawa, Bielany, ul. Klaudyny,6,75.0,10800,810000.0
11,Warszawa, Bemowo, Chrzanów,1,32.0,15156,485000.0
12,Warszawa, Praga-Północ, Namyslowska,2,52.71,16107,849000.0
13,Warszawa, Ursynów, Jana Żabińskiego 16,2,38.0,11974,455000.0
14,Warszawa, Ursynów, Hawajska,2,42.0,11833,497000.0
15,Warszawa, Praga-Północ,,2,44.0,17727,780000.0
16,Warszawa, Wola, ul. Okopowa 56,4,72.5,16520,1197700.0
17,Warszawa, Ursus,,3,56.66,9707,550000.0
18,Warszawa, Śródmieście,,2,32.0,15313,490000.0
19,Warszawa, Mokotów, ul. Jana Pawła Woronicza,3,101.57,18204,1849000.0
20,Warszawa, Praga-Północ, ul. Szwedzka,3,65.0,15380,999700.0
21,Warszawa, Wola, ul. Pańska,2,37.2,14785,550000.0
22,Warszawa, Praga-Północ, 11 listopada,3,101.5,14286,1450000.0
23,Warszawa, Śródmieście, Śródmieście Południowe,2,38.0,16816,639000.0
24,Warszawa, Praga-Południe, Kokoryczki,3,76.39,13025,995000.0
25,Warszawa, Targówek, Bartnicza,3,73.53,10608,780000.0
26,Warszawa, Wola, ul. Okopowa 56,3,72.5,16520,1197700.0
27,Warszawa, Białołęka, ul. Głębocka 56,3,67.0,12149,814000.0
28,Warszawa, Białołęka, ul. Starej Gruszy 1,3,58.0,11603,673000.0
29,Warszawa, Białołęka, ul. Odkryta 58a,2,46.7,10685,499000.0
30,Warszawa, Praga-Południe, Saska Kępa,4,48.6,14712,715000.0
31,Warszawa, Białołęka, Tarchomin,3,70.3,9801,689000.0
32,Warszawa, Wola, Stańczyka 5,3,66.5,20000,1330000.0
33,Warszawa, Mokotów,,4,51.3,12261,629000.0
34,Warszawa, Białołęka, Żeglugi Wiślanej 1,2,49.0,8980,440000.0
35,Warszawa, Białołęka, Brzeziny,2,56.67,8470,480000.0
36,Warszawa, Targówek, Pohulanka 5,2,48.0,14583,700000.0
37,Warszawa, Śródmieście, Powiśle,3,46.47,14956,695000.0
38,Warszawa, Ochota,,3,48.5,12351,599000.0
39,Warszawa, Białołęka, Tarchomin,2,46.5,7935,369000.0
40,Warszawa, Białołęka, Nowodwory,1,38.1,11286,430000.0
41,Warszawa, Ursynów, Natolin,4,118.0,10932,1290000.0
42,Warszawa, Śródmieście, Powiśle,1,35.92,27144,975000.0
43,Warszawa, Praga-Północ, ul. Jagiellońska,1,30.5,17508,534000.0
44,Warszawa, Bielany, ul. Sokratesa,3,59.7,14908,890000.0
45,Warszawa, Białołęka,,1,37.0,11081,410000.0
46,Warszawa, Praga-Południe, Grochów,1,33.0,12424,410000.0
47,Warszawa, Ursus, ul. Tomcia Palucha,2,60.0,9783,587000.0
48,Warszawa, Wola,,2,37.5,14107,529000.0
49,Warszawa, Praga-Południe, Cyrklowa,4,55.5,9279,515000.0
50,Warszawa, Mokotów, Stefana Batorego,2,17.28,19097,330000.0
51,Warszawa, Włochy, Raków,1,30.8,13500,415800.0
52,Warszawa, Wola, Mirów,2,38.0,15237,579000.0
53,Warszawa, Ursus, ul. Konińska,2,53.8,9998,537900.0
54,Warszawa, Mokotów,,2,48.0,13021,625000.0
55,Warszawa, Rembertów, Stary Rembertów,4,75.43,10871,820000.0
56,Warszawa, Praga-Południe, G.Przemyka,1,33.4,11976,400000.0
57,Warszawa, Praga-Południe, Mycielskiego 21B,3,48.0,12479,599000.0
58,Warszawa, Wilanów, ul. Sarmacka,1,40.58,13500,547830.0
59,Warszawa, Mokotów, ul. Marsylska,2,31.0,12806,397000.0
60,Warszawa, Ochota, ul. Bitwy Warszawskiej 1920 r.,2,46.0,11087,510000.0
61,Warszawa, Wola,,2,41.0,11683,479000.0
62,Warszawa, Białołęka, Marcina z Wrocimowic,3,56.6,9788,554000.0
63,Warszawa, Białołęka, Mikołaja Trąby,2,49.5,8687,430000.0
64,Warszawa, Ochota, ul. Bitwy Warszawskiej 1920 r. nr 1,2,54.0,10648,575000.0
65,Warszawa, Ursus, ul. Herbu Oksza,2,49.6,10400,515840.0
66,Warszawa, Wola, Obozowa,1,29.0,11690,339000.0
67,Warszawa, Wola, Emila Zegadłowicza,1,21.0,14757,309900.0
68,Warszawa, Białołęka, Leona Berensona,2,46.53,9886,459999.0
69,Warszawa, Wola, Erazma Ciołka,3,54.5,11927,650000.0
70,Warszawa, Wola, Młynarska,1,33.7,13056,439999.0
71,Warszawa, Śródmieście, Nowolipie,1,30.92,12904,399000.0
72,Warszawa, Bemowo, Eugeniusza Szwankowskiego,4,72.1,8987,647998.0
73,Warszawa, Praga-Południe, Ostrobramska,1,27.75,16180,449000.0
74,Warszawa, Ursynów, Kądziołeczki,5,131.8,10243,1350000.0
75,Warszawa, Wola,,2,38.0,16184,615000.0
76,Warszawa, Ursus, ul. Michała Drzymały,3,47.0,9362,440000.0
77,Warszawa, Praga-Południe, ul. gen. Tadeusza Bora-Komorowskiego,3,72.4,16436,1190000.0
78,Warszawa, Włochy, 1 Sierpnia,2,55.88,9485,530000.0
79,Warszawa, Wola, Cypriana Kamila Norwida,2,36.9,10298,380000.0
80,Warszawa, Ochota, Stara Ochota,2,47.22,14189,670000.0
81,Warszawa, Ursynów, Eugeniusza Lokajskiego,3,59.51,10585,629900.0
82,Warszawa, Praga-Południe, Grochów,2,51.0,8824,450000.0
83,Warszawa, Ursus, Skorosze,3,55.0,11800,649000.0
84,Warszawa, Wola, Płocka,1,26.8,12313,330000.0
85,Warszawa, Praga-Południe, Konrada Guderskiego,3,78.7,9409,740520.0
86,Warszawa, Wola, Sokołowska,3,63.36,10101,640000.0
87,Warszawa, Praga-Północ,,2,32.0,15281,489000.0
88,Warszawa, Bielany,,3,48.0,10604,509000.0
89,Warszawa, Włochy, Stare Włochy,2,69.0,14476,998810.0
90,Warszawa, Praga-Południe, Gocławek,3,60.0,14650,879000.0
91,Warszawa, Wola,,2,33.0,14818,489000.0
92,Warszawa, Śródmieście, al. Wyzwolenia,1,25.0,22996,574900.0
93,Warszawa, Wola, Monte Cassino,2,39.0,12795,499000.0
94,Warszawa, Włochy, ks. Juliana Chrościckiego,2,47.52,12942,615000.0
95,Warszawa, Ochota, Bitwy Warszawskiej 1920 r.,2,49.0,15918,780000.0
96,Warszawa, Ursynów, Braci Wagów,3,89.2,12892,1150000.0
97,Warszawa, Żoliborz, Ludwika Rydygiera,3,57.8,18291,1057210.0
98,Warszawa, Ursynów, Dereniowa,2,45.86,14806,679000.0
99,Warszawa, Targówek, Bródno-Podgrodzie,3,60.2,9618,579000.0
100,Warszawa, Wola, Chłodna,3,52.7,12619,665000.0
101,Warszawa, Wawer, Marysin Wawerski,3,69.2,9465,655000.0
102,Warszawa, Ochota, Władysława Korotyńskiego,2,42.0,10690,449000.0
103,Warszawa, Rembertów, Nowy Rembertów,4,70.5,8440,595000.0
104,Warszawa, Bemowo, ul. Widawska,3,64.5,9998,644900.0
105,Warszawa, Żoliborz, Sady Żoliborskie,4,108.2,15018,1625000.0
106,Warszawa, Ochota, ul. Włodarzewska,3,60.0,15500,930000.0
